"No.","Time","Source","Destination","Protocol","Length","Info","Source Port UDP","Source Port TCP","Destination Port UDP","Destination Port TCP"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","50242  >  50241 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50242","","50241"
"2","0.000023","127.0.0.1","127.0.0.1","TCP","56","50241  >  50242 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50241","","50242"
"3","0.000036","127.0.0.1","127.0.0.1","TCP","44","50242  >  50241 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50242","","50241"
"4","0.000075","127.0.0.1","127.0.0.1","TCP","53","50242  >  50241 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50242","","50241"
"5","0.000081","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50241","","50242"
"6","0.000175","127.0.0.1","127.0.0.1","TCP","56","50244  >  50243 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50244","","50243"
"7","0.000189","127.0.0.1","127.0.0.1","TCP","56","50243  >  50244 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50243","","50244"
"8","0.000239","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=1 Ack=1 Win=2619648 Len=0","","50244","","50243"
"9","0.000338","127.0.0.1","127.0.0.1","TCP","53","50244  >  50243 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=9","","50244","","50243"
"10","0.000344","127.0.0.1","127.0.0.1","TCP","44","50243  >  50244 [ACK] Seq=1 Ack=10 Win=2619648 Len=0","","50243","","50244"
"11","0.000865","127.0.0.1","127.0.0.1","TCP","45","50243  >  50244 [PSH, ACK] Seq=1 Ack=10 Win=2619648 Len=1","","50243","","50244"
"12","0.000875","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=10 Ack=2 Win=2619648 Len=0","","50244","","50243"
"13","0.001005","127.0.0.1","127.0.0.1","TCP","44","50243  >  50244 [FIN, ACK] Seq=2 Ack=10 Win=2619648 Len=0","","50243","","50244"
"14","0.001012","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [ACK] Seq=10 Ack=3 Win=2619648 Len=0","","50244","","50243"
"15","0.001021","127.0.0.1","127.0.0.1","TCP","44","50244  >  50243 [RST, ACK] Seq=10 Ack=3 Win=0 Len=0","","50244","","50243"
"16","0.001105","127.0.0.1","127.0.0.1","TCP","56","50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"17","0.001110","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"18","0.515887","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"19","0.515898","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"20","0.908868","127.0.0.1","127.0.0.1","TCP","45","27015  >  49784 [ACK] Seq=1 Ack=1 Win=10232 Len=1","","27015","","49784"
"21","0.908877","127.0.0.1","127.0.0.1","TCP","56","49784  >  27015 [ACK] Seq=1 Ack=2 Win=10232 Len=0 SLE=1 SRE=2","","49784","","27015"
"22","1.017993","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"23","1.018003","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"24","1.528496","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"25","1.528508","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"26","2.043470","127.0.0.1","127.0.0.1","TCP","56","[TCP Retransmission] 50245  >  6109 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM","","50245","","6109"
"27","2.043480","127.0.0.1","127.0.0.1","TCP","44","6109  >  50245 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","","6109","","50245"
"28","2.213138","127.0.0.1","127.0.0.1","TCP","44","50242  >  50241 [FIN, ACK] Seq=10 Ack=1 Win=2619648 Len=0","","50242","","50241"
"29","2.213148","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50241","","50242"
"30","2.213158","127.0.0.1","127.0.0.1","TCP","44","50241  >  50242 [FIN, ACK] Seq=1 Ack=11 Win=2619648 Len=0","","50241","","50242"
